[1.000000 1.000000] -> [-0.354603], y = -1.000000, delta = 0.645397 
[1.000000 -1.000000] -> [-0.764138], y = 1.000000, delta = -1.764138 
[-1.000000 1.000000] -> [0.349001], y = 1.000000, delta = -0.650999 
[-1.000000 -1.000000] -> [0.759306], y = -1.000000, delta = 1.759306 
[1.000000 1.000000] -> [-0.350440], y = -1.000000, delta = 0.649560 
[1.000000 -1.000000] -> [-0.761464], y = 1.000000, delta = -1.761464 
[-1.000000 1.000000] -> [0.346103], y = 1.000000, delta = -0.653897 
[-1.000000 -1.000000] -> [0.756574], y = -1.000000, delta = 1.756574 
[1.000000 1.000000] -> [-0.346772], y = -1.000000, delta = 0.653228 
[1.000000 -1.000000] -> [-0.759103], y = 1.000000, delta = -1.759103 
[-1.000000 1.000000] -> [0.343514], y = 1.000000, delta = -0.656486 
[-1.000000 -1.000000] -> [0.754139], y = -1.000000, delta = 1.754139 
[1.000000 1.000000] -> [-0.343515], y = -1.000000, delta = 0.656485 
[1.000000 -1.000000] -> [-0.757005], y = 1.000000, delta = -1.757005 
[-1.000000 1.000000] -> [0.341186], y = 1.000000, delta = -0.658814 
[-1.000000 -1.000000] -> [0.751953], y = -1.000000, delta = 1.751953 
[1.000000 1.000000] -> [-0.340598], y = -1.000000, delta = 0.659402 
[1.000000 -1.000000] -> [-0.755132], y = 1.000000, delta = -1.755132 
[-1.000000 1.000000] -> [0.339079], y = 1.000000, delta = -0.660921 
[-1.000000 -1.000000] -> [0.749977], y = -1.000000, delta = 1.749977 
[1.000000 1.000000] -> [-0.337966], y = -1.000000, delta = 0.662034 
[1.000000 -1.000000] -> [-0.753449], y = 1.000000, delta = -1.753449 
[-1.000000 1.000000] -> [0.337162], y = 1.000000, delta = -0.662838 
[-1.000000 -1.000000] -> [0.748181], y = -1.000000, delta = 1.748181 
[1.000000 1.000000] -> [-0.335576], y = -1.000000, delta = 0.664424 
[1.000000 -1.000000] -> [-0.751931], y = 1.000000, delta = -1.751931 
[-1.000000 1.000000] -> [0.335407], y = 1.000000, delta = -0.664593 
[-1.000000 -1.000000] -> [0.746538], y = -1.000000, delta = 1.746538 
[1.000000 1.000000] -> [-0.333390], y = -1.000000, delta = 0.666610 
[1.000000 -1.000000] -> [-0.750556], y = 1.000000, delta = -1.750556 
[-1.000000 1.000000] -> [0.333794], y = 1.000000, delta = -0.666206 
[-1.000000 -1.000000] -> [0.745026], y = -1.000000, delta = 1.745026 
[1.000000 1.000000] -> [-0.331377], y = -1.000000, delta = 0.668623 
[1.000000 -1.000000] -> [-0.749306], y = 1.000000, delta = -1.749306 
[-1.000000 1.000000] -> [0.332302], y = 1.000000, delta = -0.667698 
[-1.000000 -1.000000] -> [0.743626], y = -1.000000, delta = 1.743626 
[1.000000 1.000000] -> [-0.329513], y = -1.000000, delta = 0.670487 
[1.000000 -1.000000] -> [-0.748163], y = 1.000000, delta = -1.748163 
[-1.000000 1.000000] -> [0.330917], y = 1.000000, delta = -0.669083 
[-1.000000 -1.000000] -> [0.742324], y = -1.000000, delta = 1.742324 
[1.000000 1.000000] -> [-0.327776], y = -1.000000, delta = 0.672224 
[1.000000 -1.000000] -> [-0.747117], y = 1.000000, delta = -1.747117 
[-1.000000 1.000000] -> [0.329626], y = 1.000000, delta = -0.670374 
[-1.000000 -1.000000] -> [0.741106], y = -1.000000, delta = 1.741106 
[1.000000 1.000000] -> [-0.326147], y = -1.000000, delta = 0.673853 
[1.000000 -1.000000] -> [-0.746155], y = 1.000000, delta = -1.746155 
[-1.000000 1.000000] -> [0.328418], y = 1.000000, delta = -0.671582 
[-1.000000 -1.000000] -> [0.739960], y = -1.000000, delta = 1.739960 
[1.000000 1.000000] -> [-0.324613], y = -1.000000, delta = 0.675387 
[1.000000 -1.000000] -> [-0.745268], y = 1.000000, delta = -1.745268 
[-1.000000 1.000000] -> [0.327281], y = 1.000000, delta = -0.672719 
[-1.000000 -1.000000] -> [0.738876], y = -1.000000, delta = 1.738876 
[1.000000 1.000000] -> [-0.323159], y = -1.000000, delta = 0.676841 
[1.000000 -1.000000] -> [-0.744448], y = 1.000000, delta = -1.744448 
[-1.000000 1.000000] -> [0.326209], y = 1.000000, delta = -0.673791 
[-1.000000 -1.000000] -> [0.737846], y = -1.000000, delta = 1.737846 
[1.000000 1.000000] -> [-0.321773], y = -1.000000, delta = 0.678227 
[1.000000 -1.000000] -> [-0.743688], y = 1.000000, delta = -1.743688 
[-1.000000 1.000000] -> [0.325193], y = 1.000000, delta = -0.674807 
[-1.000000 -1.000000] -> [0.736862], y = -1.000000, delta = 1.736862 
[1.000000 1.000000] -> [-0.320445], y = -1.000000, delta = 0.679555 
[1.000000 -1.000000] -> [-0.742981], y = 1.000000, delta = -1.742981 
[-1.000000 1.000000] -> [0.324228], y = 1.000000, delta = -0.675772 
[-1.000000 -1.000000] -> [0.735917], y = -1.000000, delta = 1.735917 
[1.000000 1.000000] -> [-0.319167], y = -1.000000, delta = 0.680833 
[1.000000 -1.000000] -> [-0.742323], y = 1.000000, delta = -1.742323 
[-1.000000 1.000000] -> [0.323307], y = 1.000000, delta = -0.676693 
[-1.000000 -1.000000] -> [0.735004], y = -1.000000, delta = 1.735004 
[1.000000 1.000000] -> [-0.317931], y = -1.000000, delta = 0.682069 
[1.000000 -1.000000] -> [-0.741708], y = 1.000000, delta = -1.741708 
[-1.000000 1.000000] -> [0.322425], y = 1.000000, delta = -0.677575 
[-1.000000 -1.000000] -> [0.734118], y = -1.000000, delta = 1.734118 
[1.000000 1.000000] -> [-0.316728], y = -1.000000, delta = 0.683272 
[1.000000 -1.000000] -> [-0.741132], y = 1.000000, delta = -1.741132 
[-1.000000 1.000000] -> [0.321578], y = 1.000000, delta = -0.678422 
[-1.000000 -1.000000] -> [0.733255], y = -1.000000, delta = 1.733255 
[1.000000 1.000000] -> [-0.315552], y = -1.000000, delta = 0.684448 
[1.000000 -1.000000] -> [-0.740592], y = 1.000000, delta = -1.740592 
[-1.000000 1.000000] -> [0.320761], y = 1.000000, delta = -0.679239 
[-1.000000 -1.000000] -> [0.732408], y = -1.000000, delta = 1.732408 
[1.000000 1.000000] -> [-0.314398], y = -1.000000, delta = 0.685602 
[1.000000 -1.000000] -> [-0.740084], y = 1.000000, delta = -1.740084 
[-1.000000 1.000000] -> [0.319970], y = 1.000000, delta = -0.680030 
[-1.000000 -1.000000] -> [0.731573], y = -1.000000, delta = 1.731573 
[1.000000 1.000000] -> [-0.313259], y = -1.000000, delta = 0.686741 
[1.000000 -1.000000] -> [-0.739606], y = 1.000000, delta = -1.739606 
[-1.000000 1.000000] -> [0.319203], y = 1.000000, delta = -0.680797 
[-1.000000 -1.000000] -> [0.730746], y = -1.000000, delta = 1.730746 
[1.000000 1.000000] -> [-0.312130], y = -1.000000, delta = 0.687870 
[1.000000 -1.000000] -> [-0.739154], y = 1.000000, delta = -1.739154 
[-1.000000 1.000000] -> [0.318456], y = 1.000000, delta = -0.681544 
[-1.000000 -1.000000] -> [0.729923], y = -1.000000, delta = 1.729923 
[1.000000 1.000000] -> [-0.311006], y = -1.000000, delta = 0.688994 
[1.000000 -1.000000] -> [-0.738727], y = 1.000000, delta = -1.738727 
[-1.000000 1.000000] -> [0.317726], y = 1.000000, delta = -0.682274 
[-1.000000 -1.000000] -> [0.729098], y = -1.000000, delta = 1.729098 
[1.000000 1.000000] -> [-0.309881], y = -1.000000, delta = 0.690119 
[1.000000 -1.000000] -> [-0.738322], y = 1.000000, delta = -1.738322 
[-1.000000 1.000000] -> [0.317010], y = 1.000000, delta = -0.682990 
[-1.000000 -1.000000] -> [0.728269], y = -1.000000, delta = 1.728269 
[1.000000 1.000000] -> [-0.308751], y = -1.000000, delta = 0.691249 
[1.000000 -1.000000] -> [-0.737937], y = 1.000000, delta = -1.737937 
[-1.000000 1.000000] -> [0.316305], y = 1.000000, delta = -0.683695 
[-1.000000 -1.000000] -> [0.727431], y = -1.000000, delta = 1.727431 
[1.000000 1.000000] -> [-0.307610], y = -1.000000, delta = 0.692390 
[1.000000 -1.000000] -> [-0.737571], y = 1.000000, delta = -1.737571 
[-1.000000 1.000000] -> [0.315610], y = 1.000000, delta = -0.684390 
[-1.000000 -1.000000] -> [0.726579], y = -1.000000, delta = 1.726579 
[1.000000 1.000000] -> [-0.306453], y = -1.000000, delta = 0.693547 
[1.000000 -1.000000] -> [-0.737222], y = 1.000000, delta = -1.737222 
[-1.000000 1.000000] -> [0.314921], y = 1.000000, delta = -0.685079 
[-1.000000 -1.000000] -> [0.725708], y = -1.000000, delta = 1.725708 
[1.000000 1.000000] -> [-0.305276], y = -1.000000, delta = 0.694724 
[1.000000 -1.000000] -> [-0.736888], y = 1.000000, delta = -1.736888 
[-1.000000 1.000000] -> [0.314236], y = 1.000000, delta = -0.685764 
[-1.000000 -1.000000] -> [0.724814], y = -1.000000, delta = 1.724814 
[1.000000 1.000000] -> [-0.304072], y = -1.000000, delta = 0.695928 
[1.000000 -1.000000] -> [-0.736567], y = 1.000000, delta = -1.736567 
[-1.000000 1.000000] -> [0.313553], y = 1.000000, delta = -0.686447 
[-1.000000 -1.000000] -> [0.723893], y = -1.000000, delta = 1.723893 
[1.000000 1.000000] -> [-0.302836], y = -1.000000, delta = 0.697164 
[1.000000 -1.000000] -> [-0.736259], y = 1.000000, delta = -1.736259 
[-1.000000 1.000000] -> [0.312869], y = 1.000000, delta = -0.687131 
[-1.000000 -1.000000] -> [0.722937], y = -1.000000, delta = 1.722937 
[1.000000 1.000000] -> [-0.301561], y = -1.000000, delta = 0.698439 
[1.000000 -1.000000] -> [-0.735963], y = 1.000000, delta = -1.735963 
[-1.000000 1.000000] -> [0.312183], y = 1.000000, delta = -0.687817 
[-1.000000 -1.000000] -> [0.721941], y = -1.000000, delta = 1.721941 
[1.000000 1.000000] -> [-0.300242], y = -1.000000, delta = 0.699758 
[1.000000 -1.000000] -> [-0.735676], y = 1.000000, delta = -1.735676 
[-1.000000 1.000000] -> [0.311491], y = 1.000000, delta = -0.688509 
[-1.000000 -1.000000] -> [0.720899], y = -1.000000, delta = 1.720899 
[1.000000 1.000000] -> [-0.298871], y = -1.000000, delta = 0.701129 
[1.000000 -1.000000] -> [-0.735398], y = 1.000000, delta = -1.735398 
[-1.000000 1.000000] -> [0.310791], y = 1.000000, delta = -0.689209 
[-1.000000 -1.000000] -> [0.719803], y = -1.000000, delta = 1.719803 
[1.000000 1.000000] -> [-0.297439], y = -1.000000, delta = 0.702561 
[1.000000 -1.000000] -> [-0.735127], y = 1.000000, delta = -1.735127 
[-1.000000 1.000000] -> [0.310080], y = 1.000000, delta = -0.689920 
[-1.000000 -1.000000] -> [0.718644], y = -1.000000, delta = 1.718644 
[1.000000 1.000000] -> [-0.295939], y = -1.000000, delta = 0.704061 
